Response (V)	Retention time (min)
1.6e-05	0.0
1.5e-05	0.0016809233872473945
1.4e-05	0.003361846774494789
2.1e-05	0.005042770161742183
2e-05	0.006723693548989578
1.3e-05	0.008404616936236972
1.6e-05	0.010085540323484367
1.5e-05	0.011766463710731761
1.9e-05	0.013447387097979156
1.2e-05	0.01512831048522655
7e-06	0.016809233872473944
9e-06	0.01849015725972134
1.2e-05	0.020171080646968733
1.3e-05	0.021852004034216128
1.2e-05	0.023532927421463522
6e-06	0.025213850808710917
6e-06	0.026894774195958312
1.1e-05	0.028575697583205707
1.2e-05	0.0302566209704531
1.4e-05	0.03193754435770049
1.8e-05	0.03361846774494789
2.3e-05	0.03529939113219528
2.8e-05	0.03698031451944268
2.9e-05	0.03866123790669007
2.6e-05	0.040342161293937466
3e-05	0.04202308468118486
3.1e-05	0.043704008068432255
3e-05	0.04538493145567965
3.1e-05	0.047065854842927045
3.3e-05	0.04874677823017444
2.8e-05	0.050427701617421834
2.2e-05	0.05210862500466923
2.2e-05	0.053789548391916624
2.3e-05	0.05547047177916402
3.2e-05	0.05715139516641141
2.9e-05	0.05883231855365881
3e-05	0.0605132419409062
2.7e-05	0.0621941653281536
2.7e-05	0.06387508871540098
2.4e-05	0.06555601210264839
2.3e-05	0.06723693548989577
2.2e-05	0.06891785887714318
2.1e-05	0.07059878226439056
1.7e-05	0.07227970565163797
1.9e-05	0.07396062903888535
2.1e-05	0.07564155242613275
2.1e-05	0.07732247581338014
1.6e-05	0.07900339920062754
1.5e-05	0.08068432258787493
1.3e-05	0.08236524597512233
1.8e-05	0.08404616936236972
2.4e-05	0.08572709274961712
2.3e-05	0.08740801613686451
2.7e-05	0.08908893952411191
2.8e-05	0.0907698629113593
2.6e-05	0.0924507862986067
2.5e-05	0.09413170968585409
2.8e-05	0.09581263307310149
3.5e-05	0.09749355646034888
3.5e-05	0.09917447984759628
3.9e-05	0.10085540323484367
3.6e-05	0.10253632662209107
3.6e-05	0.10421725000933846
3.6e-05	0.10589817339658586
4e-05	0.10757909678383325
3.5e-05	0.10926002017108064
3.3e-05	0.11094094355832804
3.6e-05	0.11262186694557542
3.6e-05	0.11430279033282283
3.7e-05	0.11598371372007021
3.4e-05	0.11766463710731762
3.1e-05	0.119345560494565
3.3e-05	0.1210264838818124
3.2e-05	0.12270740726905979
2.7e-05	0.1243883306563072
2.7e-05	0.1260692540435546
2.9e-05	0.12775017743080197
2.9e-05	0.12943110081804937
2.5e-05	0.13111202420529677
2.9e-05	0.13279294759254417
2.8e-05	0.13447387097979155
2.9e-05	0.13615479436703895
3.3e-05	0.13783571775428635
3.3e-05	0.13951664114153375
3.7e-05	0.14119756452878113
3.9e-05	0.14287848791602853
3.5e-05	0.14455941130327593
3.5e-05	0.14624033469052333
4e-05	0.1479212580777707
4.4e-05	0.1496021814650181
4.2e-05	0.1512831048522655
4e-05	0.1529640282395129
4.5e-05	0.15464495162676029
4.8e-05	0.1563258750140077
4.9e-05	0.1580067984012551
4.6e-05	0.1596877217885025
5.1e-05	0.16136864517574986
4.9e-05	0.16304956856299727
5.2e-05	0.16473049195024467
5e-05	0.16641141533749204
4.7e-05	0.16809233872473944
4.2e-05	0.16977326211198684
3.8e-05	0.17145418549923425
4.4e-05	0.17313510888648162
4.5e-05	0.17481603227372902
4.4e-05	0.17649695566097642
4.1e-05	0.17817787904822383
3.7e-05	0.1798588024354712
4e-05	0.1815397258227186
4.3e-05	0.183220649209966
4.1e-05	0.1849015725972134
4.2e-05	0.18658249598446078
4.3e-05	0.18826341937170818
4.1e-05	0.18994434275895558
4.6e-05	0.19162526614620298
4.6e-05	0.19330618953345036
4.2e-05	0.19498711292069776
4e-05	0.19666803630794516
4.4e-05	0.19834895969519256
