m/z 198	m/z 192	m/z 184	m/z 178	m/z 170	m/z 156	m/z 142	m/z 205	m/z 259	m/z 253	m/z 231	m/z 218	m/z 217	m/z 191	m/z 177	m/z 219	m/z 206	Retention time (min)
149.80571	449.777557	172.545242	503.726624	7472.067383	3243.038086	4466.639648	399.604767	348.252411	434.697052	275.921661	251.420959	311.456299	1064.121826	587.197754	217.385376	549.910156	9.0
152.689102	383.049774	1372.842163	705.638306	11826.459961	2363.691162	10517.21582	251.91246	202.648926	343.943695	281.909637	156.342499	246.440552	790.70575	415.135803	381.755524	484.689606	9.02379975379565
126.001282	544.413696	291.747589	411.162933	24818.294922	7072.585449	4748.688477	371.516205	231.556641	369.697693	277.854858	231.491104	278.289001	669.489319	454.463074	238.183533	705.302429	9.0475995075913
223.528992	702.287964	320.712646	636.78894	26099.351563	15266.805664	39507.832031	583.200317	263.708191	485.951111	354.715485	327.265839	297.694611	1125.344971	498.058105	423.458344	946.664307	9.07139926138695
168.621521	513.400757	323.866364	523.975952	32948.441406	8617.841797	5792.028809	304.837585	277.256866	551.532043	374.653534	324.710114	395.500824	1292.532959	638.287964	376.725983	641.579956	9.095199015182601
259.759888	1033.993652	3808.495605	1104.907227	55361.710938	18716.916016	31345.435547	647.839233	373.269165	529.218506	442.618195	249.029053	317.829254	917.699219	434.344818	354.584412	1268.015869	9.118998768978251
329.018829	933.705383	1069.249756	860.899536	61729.992188	30156.197266	15603.491211	706.563904	377.250214	567.43988	473.393585	418.150269	479.69281	1372.563721	931.043152	521.969055	1225.993652	9.142798522773901
301.601959	1143.915039	638.378113	789.215942	198099.203125	28262.884766	47963.390625	713.92804	308.024048	690.94281	462.531677	292.689606	481.232819	1650.058105	720.079895	556.209412	1555.962646	9.166598276569554
318.189697	1146.396973	695.267883	1170.053955	329281.40625	86150.679688	84691.4375	946.238342	378.675537	775.912964	508.772552	391.63446	582.045288	2048.516113	944.542664	496.026611	1205.031616	9.190398030365204
423.933441	1157.537476	1051.474243	1056.798706	52353.554688	34699.320313	37215.324219	966.225525	490.16153	775.118408	597.486267	511.885315	562.647888	2135.60791	1078.669922	541.571228	1516.176636	9.214197784160854
323.202881	970.730835	429.421722	1085.092041	96233.953125	37697.136719	65213.699219	723.512085	256.196594	695.554565	437.555878	440.963531	734.840881	1780.867798	1040.481201	541.939819	1157.57019	9.237997537956504
292.779724	918.436462	481.150909	1344.876465	50521.183594	39223.730469	21620.023438	857.565613	339.159851	607.47168	436.908752	406.215271	642.154358	1935.776733	890.42981	592.088074	1703.384644	9.261797291752154
343.714325	926.439514	882.516846	1034.616211	421270.53125	68542.453125	325209.46875	738.084717	373.269165	691.679993	514.506592	336.219116	584.682983	1821.587646	841.324463	530.930481	1453.331665	9.285597045547805
430.412903	1130.947876	1662.009521	1076.122314	61127.835938	13100.520508	47217.074219	732.768433	338.692963	562.877258	577.818481	322.604889	625.03418	1707.078979	1025.802124	508.780762	1390.167114	9.309396799343455
519.978516	1151.901733	1114.876221	1555.462891	59883.242188	16094.415039	98442.210938	791.738892	303.674377	486.049408	361.223083	334.032013	495.707153	2023.319092	1059.157837	535.591431	1245.661377	9.333196553139105
232.383972	1052.096802	656.808899	1456.182251	30159.636719	6382.044434	41624.542969	890.339661	365.528229	570.913086	526.695496	545.814392	556.21759	1840.468994	1027.415894	489.293243	1099.03186	9.356996306934755
340.077301	900.194031	1765.164673	3615.187988	27935.119141	6777.61084	30319.486328	884.62207	376.381927	487.360046	357.139648	316.2565	501.76886	1550.466187	1018.954041	455.978485	943.985657	9.380796060730406
265.837952	914.725708	2969.606445	1149.108398	28635.964844	8392.453125	32015.154297	520.166931	261.848724	481.871765	430.503021	300.365021	471.018036	1791.582275	824.857056	414.275696	1411.800903	9.404595814526056
274.004852	863.520813	5932.103027	1054.554199	55301.757813	4686.433594	88351.320313	724.667114	371.360565	419.641113	456.388062	389.791382	361.883026	1805.712524	898.334595	466.463593	1078.809204	9.428395568321706
242.59874	915.479309	3696.787354	1628.072144	9077.137695	6835.319824	21562.361328	591.719421	371.639069	363.644196	464.874451	319.156281	433.427368	1663.270996	906.313049	575.598633	1181.01416	9.452195322117358
345.43454	758.932007	1137.058716	1174.485596	43414.558594	3873.945557	58601.261719	726.198914	400.11264	499.09024	476.10495	406.657623	417.240997	1538.473877	821.883545	369.083313	960.638916	9.475995075913008
316.010742	883.47522	4370.381836	1327.690796	19143.683594	5858.14209	36860.808594	826.421631	336.284668	518.87262	370.639709	385.572754	367.682587	1716.753052	1066.194336	422.254181	1181.620361	9.499794829708659
299.349304	912.858032	15188.700195	1899.373901	98684.609375	14824.990234	33170.71875	650.853699	328.732117	437.678741	427.971832	393.870728	422.540894	1780.620483	1040.776123	413.55484	1154.768677	9.523594583504309
346.335602	779.427124	6941.64502	4609.769531	61998.855469	15645.194336	37503.851563	691.884827	307.983093	369.599396	464.585693	362.227051	441.061829	1549.75354	1080.365601	434.78714	916.708069	9.54739433729996
294.311523	962.375549	5337.983398	2301.296875	57508.035156	22514.753906	14839.120117	676.697815	274.79126	428.111084	385.023926	352.978882	528.317444	1702.016602	1129.612671	372.327148	1125.254883	9.57119409109561
372.417267	1010.565979	18428.986328	2307.522217	32876.140625	102169.773438	40387.324219	758.022766	377.594269	508.330231	480.143341	373.580444	382.566498	1745.48877	789.838501	500.040436	1049.852295	9.59499384489126
390.585938	956.10907	5591.697754	3117.110352	42159.398438	21502.083984	17559.787109	595.790588	347.351349	489.735565	606.939209	520.904114	422.065796	1742.248047	1057.544067	407.878143	1208.35791	9.61879359868691
504.005127	1076.204224	4327.875977	5385.403809	45396.8125	8530.791016	89064.773438	697.078186	233.203125	488.252899	345.532837	419.174194	377.725342	1703.523926	981.527222	501.136047	1198.847046	9.64259335248256
379.191589	1011.082031	19564.388672	3348.028076	20521.46875	13093.533203	48470.699219	763.511047	313.192871	532.216553	390.18457	430.224487	423.048767	1879.018066	1153.015747	578.097046	1125.574341	9.66639310627821
